transaction_date,region,product_category,channel,customer_segment,transaction_amount,monthly_active_users,churn_flag,support_tickets,marketing_spend
2023-11-26,East,Savings,Branch,Student,294.76,1845,0,11,7100.59
2023-01-02,North,Savings,ATM,Student,3615.78,271,1,13,24816.18
2024-05-02,North,Loans,ATM,Retail,4654.85,3891,0,14,43960.78
2023-01-21,East,Credit Cards,ATM,Business,479.98,4527,0,16,48849.23
2024-03-30,South,Loans,Mobile App,Student,256.34,549,0,7,20436.04
2024-11-12,East,Loans,Branch,Retail,550.9,3717,0,14,6452.59
2024-05-16,North,Mortgages,Mobile App,Premium,1009.1,4231,0,18,15948.82
2024-12-04,Central,Insurance,Online,Premium,3343.53,1641,0,6,26497.36
2023-03-11,North,Loans,ATM,Business,454.76,1164,0,14,6135.41
2023-11-04,South,Loans,Branch,Premium,9940.27,168,0,10,11419.28
2024-11-29,West,Insurance,Online,Student,304.91,1396,0,3,3307.83
2023-08-23,East,Credit Cards,Branch,Student,1072.15,3766,0,1,19617.27
2023-07-12,South,Mortgages,ATM,Retail,1835.18,2082,0,15,38771.42
2024-11-11,South,Savings,Branch,Premium,273.77,2912,0,14,24749.19
2023-03-19,North,Credit Cards,Online,Student,14357.89,3228,0,20,17026.63
2024-06-21,East,Mortgages,Mobile App,Retail,403.55,3603,0,4,39667.06
2023-12-16,East,Mortgages,Online,Student,50.0,3827,0,7,42003.4
2023-12-08,East,Insurance,Online,Premium,1421.41,1530,0,18,35154.25
2023-05-01,North,Loans,Branch,Premium,2448.77,4843,0,17,23501.21
2023-11-03,Central,Credit Cards,ATM,Student,600.17,4516,0,4,1354.9
2024-04-26,West,Insurance,Mobile App,Business,4162.83,251,1,7,8570.74
2023-12-18,East,Mortgages,Mobile App,Business,2473.35,4813,0,15,8219.56
2024-08-20,North,Credit Cards,Mobile App,Student,76.15,2469,1,3,17917.88
2023-06-04,South,Loans,Branch,Student,3169.25,4534,0,9,14167.02
2023-04-12,East,Mortgages,ATM,Premium,7460.3,3565,0,13,44330.32
2024-05-16,East,Credit Cards,Online,Student,631.69,2224,0,5,6882.2
2024-10-12,South,Savings,Online,Business,907.25,728,0,1,5379.76
2023-08-28,Central,Credit Cards,Online,Premium,1260.6,2652,0,9,3565.77
2023-12-23,North,Insurance,ATM,Premium,1832.1,2012,0,1,13401.93
2024-09-18,East,Insurance,Online,Student,329.46,891,0,9,32361.81
2023-11-26,East,Savings,Branch,Premium,1418.07,4261,0,10,42686.39
2023-08-03,South,Loans,Online,Premium,1019.27,1861,0,5,37463.4
2023-08-03,North,Credit Cards,Mobile App,Business,1014.25,1399,0,4,28956.39
2023-04-01,East,Savings,ATM,Premium,3767.38,1733,0,8,39258.36
2024-03-19,South,Mortgages,ATM,Premium,1106.78,2338,0,13,16738.82
2023-07-03,North,Savings,Online,Business,835.02,1738,0,11,22423.36
2024-01-24,East,Credit Cards,ATM,Business,958.0,2409,0,9,23298.1
2024-04-12,North,Mortgages,Branch,Student,549.3,637,0,13,12514.83
2023-08-09,North,Insurance,Online,Business,15588.01,4703,0,3,29993.47
2024-09-07,North,Savings,Mobile App,Retail,2757.28,225,1,3,38788.89
2024-01-06,West,Savings,Mobile App,Student,58422.91,3663,0,15,36519.33
2024-12-04,South,Mortgages,Online,Student,2226.91,3548,0,12,36233.11
2023-08-05,South,Insurance,Mobile App,Retail,50.0,3131,1,7,5906.7
2024-06-15,South,Loans,Branch,Student,411.96,275,0,9,44868.58
2024-10-23,Central,Savings,Mobile App,Business,721.95,682,0,16,47454.15
2023-12-28,West,Loans,Online,Student,3086.55,2997,0,14,48600.4
2023-06-11,East,Loans,Branch,Premium,137.0,2274,0,14,5367.79
2024-07-30,East,Loans,Branch,Premium,1194.63,3107,0,4,12591.68
2024-07-04,West,Credit Cards,Branch,Student,413.53,2826,0,17,4678.6
2024-10-13,Central,Loans,Online,Premium,2914.51,2898,0,10,14898.47
2024-05-26,Central,Insurance,ATM,Premium,927.77,3501,0,9,35639.4
2024-02-26,Central,Savings,Branch,Business,114.81,1813,0,13,22881.27
2023-07-20,South,Savings,Online,Retail,1001.26,2128,0,8,7956.96
2024-06-01,East,Credit Cards,Branch,Business,1363.0,4959,0,0,38491.09
2024-03-19,East,Mortgages,Online,Retail,1262.13,737,0,15,32420.56
2023-06-06,East,Savings,ATM,Student,493.02,4246,0,11,47253.77
2023-01-04,Central,Loans,Mobile App,Business,732.04,2526,0,6,9276.88
2024-05-06,East,Insurance,Mobile App,Premium,3010.38,537,0,14,49970.43
2024-12-29,South,Insurance,Online,Student,106.42,3423,0,20,41485.41
2024-01-31,South,Savings,ATM,Premium,1093.88,4811,0,1,5892.76
2023-03-25,West,Loans,ATM,Student,1369.65,899,0,8,40422.52
2024-02-22,North,Mortgages,Online,Retail,2993.35,4950,0,14,31136.35
2023-05-06,North,Insurance,Branch,Retail,1368.65,3643,0,3,15808.63
2023-03-29,Central,Insurance,Mobile App,Business,3271.5,2598,1,7,27132.73
2024-12-17,South,Loans,Mobile App,Retail,1950.99,590,0,1,5471.96
2023-05-05,Central,Credit Cards,Mobile App,Retail,224.5,2737,0,11,7234.9
2023-12-01,South,Insurance,Branch,Business,833.32,700,0,13,3751.24
2024-11-20,Central,Credit Cards,Online,Premium,1182.77,1905,0,2,24142.74
2023-03-22,North,Savings,Branch,Student,1496.88,1173,0,0,40943.34
2023-06-30,West,Insurance,Branch,Student,253.94,4610,0,19,35897.88
2024-02-05,East,Savings,ATM,Premium,989.7,4029,0,9,29906.1
2024-11-01,West,Savings,Branch,Business,376.2,2906,0,14,26627.39
2023-06-29,West,Savings,Branch,Business,4085.11,1929,1,18,10695.86
2024-03-19,South,Insurance,Branch,Retail,169.5,365,1,1,35621.47
2024-05-20,East,Credit Cards,Online,Student,179.43,1257,0,9,42480.32
2024-11-01,Central,Savings,Branch,Premium,374.27,3074,0,15,14048.32
2023-02-23,West,Savings,Online,Business,556.79,1204,0,8,7471.9
2023-10-10,South,Loans,Mobile App,Student,631.6,763,0,8,41562.91
2023-12-29,Central,Savings,Mobile App,Business,440.66,1051,0,5,1836.36
2023-04-30,Central,Insurance,Online,Business,1049.74,1024,1,9,3717.98
2024-09-21,South,Savings,Online,Premium,4355.8,1104,0,8,29565.0
2024-07-21,North,Insurance,ATM,Business,1027.09,2432,0,1,32697.23
2024-10-31,East,Loans,ATM,Student,6394.26,3035,0,10,24464.04
2024-08-19,North,Savings,Branch,Retail,461.66,3312,0,5,7606.96
2023-07-21,North,Credit Cards,Branch,Student,13520.7,2190,1,15,6501.58
2023-01-04,South,Mortgages,Mobile App,Retail,1427.82,4529,0,2,47057.67
2024-05-16,North,Savings,Branch,Business,3718.73,1421,0,10,21212.56
2024-02-07,North,Savings,ATM,Business,64.95,923,0,14,14345.78
2024-01-09,West,Insurance,Mobile App,Retail,12566.7,1296,0,2,4784.93
2024-11-08,North,Loans,Branch,Business,975.34,548,0,3,2285.81
2023-09-22,South,Credit Cards,Mobile App,Student,297.04,3111,0,16,7915.53
2024-08-21,West,Mortgages,Branch,Student,2811.66,3152,0,6,3840.55
2023-04-11,West,Loans,Branch,Retail,182.42,2699,0,3,46402.42
2023-09-29,East,Credit Cards,Mobile App,Student,610.89,879,0,11,4737.49
2024-03-12,West,Loans,Online,Retail,221.64,1307,0,10,5965.96
2024-04-20,West,Savings,Branch,Business,1172.59,4633,0,13,36708.38
2024-02-13,East,Loans,Online,Premium,577.3,2129,0,7,8636.91
2024-12-13,West,Mortgages,Mobile App,Premium,343.57,1469,0,2,18710.22
2024-01-17,Central,Insurance,Branch,Business,234.23,2635,0,17,22101.39
2023-03-16,West,Savings,Online,Premium,232.82,4657,0,4,21034.79
2023-05-08,North,Loans,Online,Retail,570.96,1273,0,4,26763.66
2023-07-25,East,Savings,Branch,Business,3248.56,4244,0,17,33436.18
2024-11-23,South,Loans,ATM,Business,184.69,3619,0,13,10908.71
2023-10-19,West,Insurance,Online,Student,27851.12,474,0,17,24435.4
2024-11-26,South,Mortgages,ATM,Retail,15899.74,2713,0,4,25834.43
2023-02-20,South,Mortgages,Online,Retail,7882.02,173,0,7,11463.12
2023-05-27,South,Loans,ATM,Business,2582.59,1432,0,2,49084.95
2024-01-24,North,Savings,Branch,Premium,9567.43,2247,0,6,3360.86
2024-10-14,Central,Credit Cards,Online,Business,726.13,269,0,4,47198.21
2024-08-26,East,Credit Cards,Online,Business,154.59,2960,0,20,25824.77
2024-06-04,East,Loans,ATM,Student,3013.65,1810,0,16,17363.92
2024-07-09,North,Credit Cards,Mobile App,Student,13978.76,730,0,8,9217.96
2023-07-30,West,Savings,Online,Student,2045.83,167,0,15,29275.87
2024-01-09,Central,Savings,Branch,Retail,225.92,820,0,13,14979.8
2023-10-07,South,Mortgages,Mobile App,Retail,902.98,4545,0,11,17749.44
2023-11-08,West,Savings,Branch,Business,67.85,1310,0,7,15103.5
2024-05-29,Central,Loans,Branch,Student,226.78,2403,1,16,10159.08
2023-11-10,South,Loans,Branch,Student,504.53,4918,0,17,6555.25
2024-06-28,West,Mortgages,Mobile App,Premium,672.99,4942,0,13,33082.1
2023-11-30,South,Credit Cards,Online,Retail,1422.97,1972,0,5,13353.63
2024-10-03,Central,Credit Cards,Branch,Retail,754.76,2165,0,11,26722.84
2024-10-09,North,Insurance,ATM,Student,2353.17,1917,0,4,20649.52
2024-09-15,Central,Credit Cards,Online,Student,7148.72,4605,0,14,3662.66
2024-02-23,Central,Insurance,Mobile App,Student,720.49,4968,0,16,25378.25
2023-10-09,North,Insurance,Branch,Student,4895.53,517,0,9,44431.41
2024-12-19,North,Credit Cards,Mobile App,Student,7364.39,2779,0,2,48273.93
2023-01-06,East,Credit Cards,ATM,Premium,10346.51,379,0,20,36041.56
2023-01-04,South,Insurance,Mobile App,Business,3521.41,3652,0,15,18202.12
2023-07-19,North,Credit Cards,ATM,Retail,3103.64,4662,0,19,40081.3
2023-08-09,North,Savings,Branch,Student,7064.39,899,0,13,10090.81
2024-10-11,North,Mortgages,Online,Premium,1269.02,4383,0,8,19758.89
2024-09-22,Central,Insurance,Online,Premium,728.14,4664,0,2,15811.06
2023-02-13,East,Loans,Online,Student,63970.34,898,1,11,21598.95
2024-11-26,South,Loans,Branch,Business,253.34,2124,0,3,26448.69
2024-07-20,North,Loans,Mobile App,Retail,19640.41,4759,0,15,25119.6
2023-08-19,North,Savings,ATM,Premium,190.78,4996,0,1,47880.83
2024-08-20,West,Mortgages,Online,Business,589.39,3128,0,5,26034.22
2023-10-03,North,Credit Cards,Mobile App,Business,12552.92,4324,0,18,33148.55
2024-11-08,North,Insurance,Mobile App,Premium,77.38,2112,0,3,17170.34
2024-12-20,West,Credit Cards,ATM,Premium,50.0,2532,0,11,41986.24
2024-10-28,East,Credit Cards,Mobile App,Premium,5887.46,1684,0,18,18327.07
2023-05-17,West,Loans,Branch,Student,452.78,3502,0,8,5844.87
2024-02-14,North,Loans,Branch,Retail,114.1,1137,0,0,31117.43
2023-10-25,Central,Loans,ATM,Retail,2972.22,457,0,8,6366.68
2024-03-08,North,Savings,Branch,Business,6118.97,1197,1,17,12937.52
2024-11-19,East,Savings,ATM,Student,650.37,1120,0,9,12591.63
2023-08-20,South,Loans,Online,Student,146.44,2692,0,8,36277.09
2024-07-03,North,Credit Cards,Online,Premium,326.67,4826,0,8,42661.17
2024-12-28,Central,Credit Cards,Online,Premium,709.06,3141,0,14,25845.73
2024-11-12,West,Mortgages,ATM,Student,50.0,4401,0,5,41521.28
2024-05-30,North,Credit Cards,Mobile App,Student,20265.38,4423,0,9,36741.42
2023-02-11,South,Credit Cards,ATM,Retail,6683.17,4427,0,10,18959.94
2023-06-23,Central,Savings,Branch,Retail,1475.85,4761,0,13,28193.73
2023-11-06,Central,Mortgages,Online,Retail,10508.82,3395,0,11,24315.04
2023-07-17,North,Credit Cards,Online,Premium,575.72,4165,0,17,3210.77
2024-03-19,North,Loans,Branch,Retail,2790.63,1856,0,14,5145.46
2023-07-23,North,Mortgages,ATM,Retail,761.94,4364,0,15,45299.25
2024-09-12,South,Credit Cards,Branch,Student,255.07,4482,0,8,13565.97
2024-06-08,East,Savings,Branch,Student,1135.56,198,1,20,34255.52
2023-02-21,Central,Mortgages,ATM,Retail,163.62,3360,0,2,19151.75
2024-12-02,East,Mortgages,Branch,Retail,6224.77,4297,0,9,16499.81
2023-11-10,North,Credit Cards,ATM,Premium,87.51,4320,0,4,23949.97
2023-12-02,East,Savings,Online,Retail,173.42,2458,0,14,24424.68
2024-06-16,West,Insurance,Branch,Business,150.45,4557,1,5,33661.52
2023-05-03,West,Savings,Online,Student,3967.98,2933,0,9,22173.78
2023-08-20,South,Credit Cards,Branch,Business,1640.72,737,0,10,7281.72
2023-04-27,Central,Mortgages,Mobile App,Retail,110292.33,2872,0,7,30204.9
2023-11-01,North,Insurance,Online,Student,1816.14,3463,0,2,41304.2
2024-09-27,South,Loans,Branch,Business,295.24,1430,1,12,11290.81
2023-10-19,Central,Insurance,ATM,Student,50.0,4219,0,14,34279.89
2023-06-02,South,Mortgages,Branch,Student,1897.68,4724,0,19,18453.4
2024-06-20,South,Mortgages,ATM,Business,567.26,736,0,11,41622.77
2023-12-28,North,Loans,Branch,Premium,95.16,2546,0,3,20130.14
2024-07-03,South,Loans,Online,Premium,647.66,536,0,5,35311.83
2024-09-06,East,Loans,Branch,Retail,930.49,283,0,0,27146.4
2024-05-28,North,Savings,ATM,Student,19794.26,3581,1,15,25320.59
2023-09-22,North,Credit Cards,Online,Business,3175.49,290,0,16,23025.71
2024-06-30,West,Mortgages,Online,Premium,1327.35,741,0,8,37286.09
2023-10-02,Central,Credit Cards,Branch,Retail,3427.82,3503,0,17,23460.8
2023-06-16,South,Loans,Mobile App,Business,997.5,1978,0,18,23714.0
2023-10-19,East,Mortgages,Online,Premium,160.09,826,0,9,41455.38
2024-04-16,North,Insurance,Mobile App,Student,8281.03,2020,0,7,17328.23
2023-02-28,South,Mortgages,ATM,Retail,3217.72,2300,1,4,4680.12
2023-01-13,North,Credit Cards,Online,Retail,7235.91,3350,0,19,22503.22
2024-11-03,South,Loans,ATM,Student,3467.17,710,0,14,18522.26
2023-05-16,South,Insurance,Online,Retail,5279.34,1244,0,6,1075.85
2024-07-08,North,Credit Cards,Branch,Premium,246.83,3243,0,12,24861.82
2023-02-07,South,Savings,ATM,Student,4049.9,810,1,0,49797.98
2024-07-05,West,Credit Cards,Online,Retail,7551.39,4324,0,3,32350.09
2023-10-07,East,Insurance,Online,Retail,393.03,1931,0,0,41083.87
2023-01-31,South,Savings,ATM,Business,8582.48,3812,1,18,18976.2
2023-10-27,North,Loans,Branch,Premium,108.33,3922,0,7,30224.63
2023-11-18,North,Savings,Mobile App,Student,92.6,1596,0,13,37196.77
2023-06-01,Central,Credit Cards,ATM,Student,518.37,3240,0,15,40294.66
2023-04-23,Central,Loans,Mobile App,Retail,3651.94,3488,0,13,28414.72
2024-09-16,East,Mortgages,Mobile App,Retail,2729.93,1709,0,11,1415.51
2023-01-04,Central,Savings,ATM,Business,84.37,2932,1,0,4510.0
2024-04-10,East,Credit Cards,Mobile App,Retail,2565.38,3587,0,20,18544.52
2023-04-15,Central,Insurance,Branch,Premium,1421.68,528,0,15,19751.02
2024-04-24,South,Savings,ATM,Business,42741.89,1278,0,3,49969.63
2023-01-06,South,Mortgages,Branch,Premium,2481.53,1271,0,3,36893.65
2024-01-28,Central,Insurance,Online,Student,1035.32,1572,0,3,36639.78
2023-07-08,Central,Loans,Branch,Student,9602.74,4436,0,18,17490.37
2023-11-30,North,Mortgages,ATM,Premium,5778.58,1265,0,1,18679.66
2023-09-06,South,Insurance,Branch,Business,163.74,4374,0,3,34980.79
2023-04-06,North,Loans,Branch,Business,158.47,4441,0,2,26806.53
2024-08-02,North,Credit Cards,Mobile App,Premium,50.0,3019,0,3,45516.49
2023-01-13,North,Mortgages,Branch,Student,1338.01,3487,0,15,18501.57
2024-12-29,North,Mortgages,Online,Student,182.5,725,0,10,25442.02
2024-04-13,North,Savings,Branch,Student,32760.12,958,0,9,16399.23
2024-02-08,East,Savings,Branch,Student,285.95,4763,0,6,24104.23
2024-07-01,North,Loans,ATM,Business,222.49,567,0,13,26785.91
2024-06-15,East,Insurance,ATM,Retail,50.0,4899,0,1,23890.56
2024-10-16,South,Credit Cards,Mobile App,Premium,1001.04,4993,0,18,28830.49
2024-05-02,North,Mortgages,Online,Retail,5269.65,2134,0,2,39188.56
2023-08-15,North,Loans,ATM,Business,699.78,4959,0,6,30289.17
2023-09-09,South,Loans,ATM,Retail,708.07,1680,0,20,40955.25
2024-07-12,South,Insurance,Online,Business,1423.12,1978,1,4,30292.12
2024-04-14,Central,Mortgages,ATM,Premium,337.25,657,0,3,37700.42
2023-05-27,South,Mortgages,ATM,Student,1121.94,2528,0,9,35921.99
2024-10-14,West,Credit Cards,Mobile App,Premium,402.97,1976,0,16,10550.04
2024-01-03,Central,Savings,Mobile App,Premium,402.96,3813,0,15,19559.38
2024-01-17,North,Mortgages,Mobile App,Student,1842.55,1010,0,20,41055.4
2024-10-27,Central,Insurance,ATM,Retail,323.24,4635,0,14,28936.67
2023-02-26,West,Savings,Branch,Premium,50.0,315,0,15,40657.31
2023-02-13,East,Insurance,ATM,Premium,1527.46,2296,0,6,30299.87
2023-12-22,South,Credit Cards,ATM,Business,7452.31,3930,1,7,46516.94
2024-12-27,South,Credit Cards,Mobile App,Premium,2349.28,1125,0,3,35484.14
2023-02-22,South,Savings,ATM,Premium,923.84,4870,0,18,40927.89
2024-12-07,Central,Mortgages,Branch,Premium,1671.82,4427,1,17,1528.5
2023-09-29,South,Mortgages,ATM,Retail,2462.27,4831,0,3,10524.72
2024-03-19,South,Savings,ATM,Retail,157.31,3768,0,17,44666.87
2023-06-14,East,Insurance,Mobile App,Business,2668.54,1318,0,8,5417.27
2023-06-18,West,Credit Cards,ATM,Business,2556.01,4586,0,17,29472.78
2023-10-14,North,Credit Cards,ATM,Retail,566.18,3265,0,15,21899.5
2024-09-18,West,Mortgages,Branch,Retail,6172.72,4576,0,2,25917.76
2023-03-06,South,Credit Cards,Mobile App,Business,5424.52,2290,0,10,36737.73
2024-06-10,East,Insurance,Mobile App,Retail,8773.74,626,0,19,41798.8
2024-03-26,East,Credit Cards,Mobile App,Student,2166.46,4383,0,7,24744.74
2024-10-13,East,Insurance,Mobile App,Business,1058.57,3424,0,17,24509.59
2024-04-23,West,Mortgages,Online,Business,2058.26,2620,0,13,29713.88
2023-04-21,South,Mortgages,Branch,Business,2872.47,3874,1,17,18588.28
2024-07-08,North,Credit Cards,Online,Business,375.74,1702,0,15,4454.86
2023-10-02,North,Loans,Branch,Premium,6268.49,4178,0,10,24482.92
2023-11-05,West,Credit Cards,Mobile App,Retail,9863.13,3944,0,4,24108.67
2023-05-30,West,Savings,Branch,Retail,554.51,891,0,12,14449.94
2024-12-26,South,Insurance,ATM,Retail,629.16,1988,0,18,30768.23
2024-06-05,North,Savings,Branch,Retail,172.89,4119,0,3,27572.74
2023-06-20,West,Savings,ATM,Student,1304.34,1978,0,14,33472.36
2023-06-02,North,Mortgages,ATM,Premium,2580.15,4086,0,17,3923.75
2024-05-28,South,Savings,ATM,Student,4498.82,3045,0,11,24616.01
2023-11-08,North,Mortgages,Online,Business,582.87,2431,1,4,4586.89
2023-08-01,North,Insurance,Online,Business,5039.48,2731,0,3,16609.89
2024-03-17,South,Loans,Online,Retail,315.63,4775,0,14,42250.57
2024-08-13,East,Loans,ATM,Premium,43895.34,1187,0,13,48100.89
2024-11-04,Central,Savings,Online,Premium,210.56,1603,0,10,45032.69
2024-11-23,East,Mortgages,Mobile App,Student,215.48,2239,0,19,32326.31
2023-08-07,North,Credit Cards,Branch,Premium,4512.23,4558,0,4,30542.72
2024-07-20,North,Loans,Mobile App,Student,13788.04,3674,0,12,11295.49
2023-09-21,Central,Credit Cards,Mobile App,Business,4971.28,1793,0,7,20628.27
2024-06-19,West,Loans,Online,Premium,314.29,602,0,8,35808.87
2024-06-12,North,Credit Cards,Online,Business,3559.66,2294,0,14,45194.91
2023-06-12,North,Mortgages,Mobile App,Premium,1405.6,271,0,4,20397.98
2023-11-02,North,Savings,ATM,Business,149.3,3658,0,11,28582.44
2023-08-30,North,Savings,Mobile App,Retail,690.52,4474,0,8,20262.95
2024-06-26,North,Credit Cards,Mobile App,Retail,4193.88,2341,0,8,28635.14
2023-05-15,East,Credit Cards,ATM,Premium,8398.96,2350,0,20,7176.84
2024-04-18,East,Mortgages,Mobile App,Retail,2228.82,631,0,1,31030.56
2024-04-05,East,Mortgages,ATM,Student,541.43,3733,0,14,25964.0
2024-04-20,West,Credit Cards,Mobile App,Premium,50.0,2147,0,14,39117.36
2024-04-20,East,Loans,Mobile App,Premium,1850.06,3734,0,0,41979.44
2023-07-12,South,Insurance,Mobile App,Student,670.4,617,0,9,16602.81
2023-08-09,North,Insurance,Mobile App,Retail,1505.89,1158,0,20,14857.33
2024-12-17,South,Insurance,Branch,Business,1972.16,4472,0,17,11841.31
2023-09-10,North,Savings,Mobile App,Student,308.02,1379,0,15,25775.02
2024-12-07,West,Insurance,Branch,Retail,123.82,188,1,0,25386.95
2023-06-25,South,Credit Cards,Online,Premium,364.27,774,0,2,25788.07
2024-06-09,Central,Mortgages,Branch,Retail,364.05,3819,0,1,30866.53
2024-04-15,East,Credit Cards,Online,Business,135.45,2217,0,10,25480.58
2024-12-17,North,Mortgages,Online,Premium,1032.39,2541,0,15,42504.98
2023-06-07,West,Credit Cards,Branch,Premium,208.59,941,0,14,19080.69
2024-03-24,East,Credit Cards,ATM,Premium,157.69,865,0,7,18099.64
2023-06-13,Central,Insurance,ATM,Retail,41092.28,4533,0,4,4440.4
2024-06-29,East,Credit Cards,ATM,Premium,110.53,118,0,16,49499.87
2023-11-07,North,Mortgages,Branch,Business,1455.82,4493,0,13,18639.13
2023-06-19,North,Loans,Mobile App,Business,21226.18,4126,0,10,5081.45
2023-10-21,North,Savings,Online,Business,201.76,3946,0,0,8562.83
2023-07-09,West,Savings,ATM,Premium,1257.41,2174,0,14,25110.56
2024-08-26,North,Insurance,ATM,Business,2001.41,469,0,5,33558.84
2023-09-15,East,Insurance,Online,Premium,3247.88,958,0,15,25499.79
2023-02-26,Central,Mortgages,ATM,Student,4264.52,2837,0,8,41935.44
2024-03-13,South,Credit Cards,Branch,Premium,462.61,2636,0,17,1759.94
2023-05-16,South,Insurance,Online,Student,313.45,3262,0,8,22679.2
2023-07-15,Central,Insurance,Branch,Student,16050.6,1396,0,19,25884.91
2023-06-24,South,Mortgages,Online,Business,242.84,3406,0,3,14118.22
2024-01-11,North,Insurance,ATM,Premium,38881.73,4352,0,3,36294.18
2023-04-18,Central,Insurance,Online,Retail,1276.03,2672,0,5,29798.74
2023-05-13,East,Insurance,Mobile App,Premium,124.64,1276,0,6,24757.98
2024-09-19,West,Insurance,Online,Business,1218.14,3579,0,17,39564.53
2024-04-13,East,Savings,ATM,Retail,511.68,2998,0,15,22233.26
2024-02-26,East,Mortgages,Online,Business,928.17,4579,0,3,8446.17
2024-09-03,West,Credit Cards,Mobile App,Student,79513.0,189,0,20,28745.22
2023-06-04,North,Mortgages,Branch,Student,3862.71,2758,0,13,16228.0
2024-01-28,East,Loans,Online,Retail,4959.7,3968,0,8,29017.68
2024-02-06,East,Loans,Online,Retail,3211.76,1265,0,4,8065.09
2023-10-05,South,Mortgages,Online,Premium,3097.39,1382,0,19,49651.46
2023-01-27,East,Savings,ATM,Premium,288.88,4032,0,15,38813.77
2024-09-03,North,Savings,Branch,Student,1021.64,669,0,19,11263.49
2024-02-20,East,Insurance,ATM,Premium,401.12,4125,0,8,38932.11
2024-06-06,West,Insurance,Mobile App,Student,12868.66,3160,0,11,20647.93
2024-12-13,East,Credit Cards,ATM,Student,285.7,2003,0,2,2174.58
2023-10-08,South,Credit Cards,Mobile App,Premium,35738.96,647,0,16,32780.11
2024-08-16,North,Insurance,Mobile App,Business,1016.32,3321,0,0,32063.57
