Transaction_ID,Date,Description,Category,Type,Amount,Balance
TXN-10057,2026-01-23,Vue Cinemas,Entertainment,Debit,79.97,27663.35
TXN-10058,2026-03-06,BP Shell,Transport,Debit,141.77,27521.58
TXN-10059,2026-03-04,Tech Corp Ltd,Salary,Credit,4423.54,31945.12
TXN-10060,2026-02-18,Sainsburys,Groceries,Debit,52.53,31892.59
TXN-10061,2026-01-23,NHS,Salary,Credit,2285.36,34177.95
TXN-10062,2026-02-24,EE,Utilities,Debit,55.59,34122.36
TXN-10063,2026-02-22,Wagamama,Dining,Debit,42.58,34079.78
TXN-10064,2026-03-10,Trainline,Transport,Debit,82.05,33997.73
TXN-10065,2026-03-05,Waitrose,Groceries,Debit,42.44,33955.29
TXN-10066,2026-04-09,O2,Utilities,Debit,25.04,33930.25
TXN-10067,2026-04-12,NatWest Group,Salary,Credit,3678.3,37608.55
TXN-10068,2026-03-26,Steam,Entertainment,Debit,144.7,37463.85
TXN-10069,2026-03-10,NHS,Salary,Credit,3070.94,40534.79
TXN-10070,2026-02-17,Netflix,Entertainment,Debit,13.55,40521.24
TXN-10071,2026-03-25,Netflix,Entertainment,Debit,103.4,40417.84
TXN-10072,2026-02-04,Asda,Groceries,Debit,96.37,40321.47
TXN-10073,2026-03-27,Estate Agents,Rent,Debit,854.56,39466.91
TXN-10074,2026-02-23,Private Landlord,Rent,Debit,1047.47,38419.44
TXN-10075,2026-02-18,Sainsburys,Groceries,Debit,121.94,38297.5
TXN-10076,2026-03-21,NHS,Salary,Credit,3613.3,41910.8
TXN-10077,2026-04-02,Trainline,Transport,Debit,14.61,41896.19
TXN-10078,2026-04-02,Private Landlord,Rent,Debit,1401.98,40494.21
TXN-10079,2026-01-14,Sainsburys,Groceries,Debit,45.69,40448.52
TXN-10080,2026-03-11,Private Landlord,Rent,Debit,1242.74,39205.78
TXN-10081,2026-04-11,EE,Utilities,Debit,131.48,39074.3
TXN-10082,2026-02-01,NHS,Salary,Credit,3540.97,42615.27
TXN-10083,2026-02-09,Asda,Groceries,Debit,52.42,42562.85
TXN-10084,2026-02-21,O2,Utilities,Debit,143.32,42419.53
TXN-10085,2026-02-25,Trainline,Transport,Debit,124.71,42294.82
TXN-10086,2026-04-01,Estate Agents,Rent,Debit,1324.77,40970.05
TXN-10087,2026-02-28,Trainline,Transport,Debit,121.85,40848.2
TXN-10088,2026-03-07,Asda,Groceries,Debit,46.81,40801.39
TXN-10089,2026-04-11,Costa Coffee,Dining,Debit,39.68,40761.71
TXN-10090,2026-04-13,EE,Utilities,Debit,69.95,40691.76
TXN-10091,2026-01-13,Asda,Groceries,Debit,122.97,40568.79
TXN-10092,2026-01-22,Tech Corp Ltd,Salary,Credit,3724.3,44293.09
TXN-10093,2026-03-13,Estate Agents,Rent,Debit,839.77,43453.32
TXN-10094,2026-02-17,BP Shell,Transport,Debit,20.32,43433.0
TXN-10095,2026-04-06,TfL,Transport,Debit,98.3,43334.7
TXN-10096,2026-03-03,O2,Utilities,Debit,92.42,43242.28
TXN-10097,2026-01-31,Costa Coffee,Dining,Debit,129.44,43112.84
TXN-10098,2026-03-22,Waitrose,Groceries,Debit,38.45,43074.39
TXN-10099,2026-04-11,Uber,Transport,Debit,109.0,42965.39
TXN-10100,2026-03-25,EE,Utilities,Debit,12.83,42952.56
TXN-10101,2026-02-19,British Gas,Utilities,Debit,92.38,42860.18
TXN-10102,2026-03-01,EE,Utilities,Debit,102.23,42757.95
TXN-10103,2026-02-14,BP Shell,Transport,Debit,82.62,42675.33
TXN-10104,2026-02-19,Private Landlord,Rent,Debit,1395.48,41279.85
TXN-10105,2026-02-10,EE,Utilities,Debit,84.74,41195.11
TXN-10106,2026-04-09,BP Shell,Transport,Debit,78.08,41117.03
TXN-10107,2026-02-09,Tech Corp Ltd,Salary,Credit,3253.98,44371.01
TXN-10108,2026-04-01,Pizza Express,Dining,Debit,10.82,44360.19
TXN-10109,2026-04-04,BP Shell,Transport,Debit,81.16,44279.03
TXN-10110,2026-03-21,Estate Agents,Rent,Debit,1200.32,43078.71
TXN-10111,2026-03-31,NHS,Salary,Credit,4138.92,47217.63
TXN-10112,2026-02-20,Wagamama,Dining,Debit,111.96,47105.67
TXN-10113,2026-02-20,Asda,Groceries,Debit,89.36,47016.31
TXN-10114,2026-01-18,TfL,Transport,Debit,126.32,46889.99
TXN-10115,2026-02-01,NatWest Group,Salary,Credit,2942.58,49832.57
TXN-10116,2026-03-29,Pizza Express,Dining,Debit,90.73,49741.84
TXN-10117,2026-02-11,O2,Utilities,Debit,111.36,49630.48
TXN-10118,2026-02-26,Nandos,Dining,Debit,109.96,49520.52
TXN-10119,2026-02-28,Waitrose,Groceries,Debit,29.54,49490.98
TXN-10120,2026-02-21,O2,Utilities,Debit,32.72,49458.26
TXN-10121,2026-03-18,Tech Corp Ltd,Salary,Credit,3962.51,53420.77
TXN-10122,2026-02-19,Thames Water,Utilities,Debit,94.58,53326.19
TXN-10123,2026-03-27,Spotify,Entertainment,Debit,25.76,53300.43
TXN-10124,2026-03-30,EE,Utilities,Debit,10.88,53289.55
TXN-10125,2026-02-02,NHS,Salary,Credit,3974.63,57264.18
TXN-10126,2026-03-20,Trainline,Transport,Debit,111.88,57152.3
TXN-10127,2026-04-06,TfL,Transport,Debit,21.8,57130.5
TXN-10128,2026-01-17,Estate Agents,Rent,Debit,1390.97,55739.53
TXN-10129,2026-02-18,TfL,Transport,Debit,5.86,55733.67
TXN-10130,2026-03-25,NHS,Salary,Credit,3234.64,58968.31
TXN-10131,2026-02-06,NatWest Group,Salary,Credit,3804.46,62772.77
TXN-10132,2026-02-25,NHS,Salary,Credit,2650.59,65423.36
TXN-10133,2026-02-07,EE,Utilities,Debit,133.07,65290.29
TXN-10134,2026-02-03,Private Landlord,Rent,Debit,1428.13,63862.16
TXN-10135,2026-03-09,Estate Agents,Rent,Debit,1155.5,62706.66
TXN-10136,2026-01-17,Trainline,Transport,Debit,125.71,62580.95
TXN-10137,2026-04-13,Uber,Transport,Debit,105.08,62475.87
TXN-10138,2026-01-23,Pizza Express,Dining,Debit,123.44,62352.43
TXN-10139,2026-02-14,BP Shell,Transport,Debit,47.27,62305.16
TXN-10140,2026-01-22,Uber,Transport,Debit,34.39,62270.77
TXN-10141,2026-02-14,O2,Utilities,Debit,74.68,62196.09
TXN-10142,2026-03-28,Tech Corp Ltd,Salary,Credit,4460.78,66656.87
TXN-10143,2026-01-28,Private Landlord,Rent,Debit,1030.51,65626.36
TXN-10144,2026-03-11,Pizza Express,Dining,Debit,146.21,65480.15
TXN-10145,2026-02-23,Tesco,Groceries,Debit,57.4,65422.75
TXN-10146,2026-02-25,BP Shell,Transport,Debit,81.09,65341.66
TXN-10147,2026-04-12,Tesco,Groceries,Debit,116.0,65225.66
TXN-10148,2026-03-26,Netflix,Entertainment,Debit,54.64,65171.02
TXN-10149,2026-03-28,Estate Agents,Rent,Debit,1108.56,64062.46
TXN-10150,2026-03-10,Waitrose,Groceries,Debit,25.94,64036.52
TXN-10151,2026-02-14,Waitrose,Groceries,Debit,58.89,63977.63
TXN-10152,2026-01-20,Tech Corp Ltd,Salary,Credit,3088.5,67066.13
TXN-10153,2026-02-28,Sainsburys,Groceries,Debit,68.17,66997.96
TXN-10154,2026-03-20,British Gas,Utilities,Debit,25.3,66972.66
TXN-10155,2026-02-09,Pizza Express,Dining,Debit,27.71,66944.95
TXN-10156,2026-04-06,Pizza Express,Dining,Debit,137.85,66807.1
TXN-10157,2026-04-04,Thames Water,Utilities,Debit,22.13,66784.97
TXN-10158,2026-01-23,Vue Cinemas,Entertainment,Debit,35.24,66749.73
TXN-10159,2026-02-03,Estate Agents,Rent,Debit,1292.88,65456.85
TXN-10160,2026-01-18,Asda,Groceries,Debit,30.18,65426.67
TXN-10161,2026-02-15,Nandos,Dining,Debit,79.08,65347.59
TXN-10162,2026-03-15,Waitrose,Groceries,Debit,60.52,65287.07
TXN-10163,2026-01-17,O2,Utilities,Debit,94.23,65192.84
TXN-10164,2026-01-17,Vue Cinemas,Entertainment,Debit,110.49,65082.35
TXN-10165,2026-03-24,Trainline,Transport,Debit,149.59,64932.76
TXN-10166,2026-03-28,NHS,Salary,Credit,2484.98,67417.74
TXN-10167,2026-01-22,EE,Utilities,Debit,74.7,67343.04
TXN-10168,2026-03-12,Spotify,Entertainment,Debit,143.92,67199.12
TXN-10169,2026-03-30,Asda,Groceries,Debit,16.07,67183.05
TXN-10170,2026-03-10,Estate Agents,Rent,Debit,1421.85,65761.2
TXN-10171,2026-02-16,Netflix,Entertainment,Debit,45.98,65715.22
TXN-10172,2026-02-15,Estate Agents,Rent,Debit,847.08,64868.14
TXN-10173,2026-03-02,BP Shell,Transport,Debit,124.26,64743.88
TXN-10174,2026-03-05,Wagamama,Dining,Debit,55.94,64687.94
TXN-10175,2026-02-24,Estate Agents,Rent,Debit,1283.73,63404.21
TXN-10176,2026-02-25,Vue Cinemas,Entertainment,Debit,45.59,63358.62
TXN-10177,2026-04-10,Wagamama,Dining,Debit,59.34,63299.28
TXN-10178,2026-02-09,Costa Coffee,Dining,Debit,56.25,63243.03
TXN-10179,2026-03-21,Trainline,Transport,Debit,102.13,63140.9
TXN-10180,2026-02-23,TfL,Transport,Debit,12.05,63128.85
TXN-10181,2026-02-18,Costa Coffee,Dining,Debit,32.67,63096.18
TXN-10182,2026-03-27,Trainline,Transport,Debit,117.33,62978.85
TXN-10183,2026-02-19,Private Landlord,Rent,Debit,1376.96,61601.89
TXN-10184,2026-03-21,Pizza Express,Dining,Debit,43.95,61557.94
TXN-10185,2026-02-11,O2,Utilities,Debit,67.1,61490.84
TXN-10186,2026-01-15,O2,Utilities,Debit,83.33,61407.51
TXN-10187,2026-04-07,British Gas,Utilities,Debit,26.42,61381.09
TXN-10188,2026-02-14,Waitrose,Groceries,Debit,125.26,61255.83
TXN-10189,2026-01-24,NatWest Group,Salary,Credit,4083.1,65338.93
TXN-10190,2026-01-14,Wagamama,Dining,Debit,102.34,65236.59
TXN-10191,2026-01-20,Private Landlord,Rent,Debit,961.97,64274.62
TXN-10192,2026-03-19,Steam,Entertainment,Debit,98.52,64176.1
TXN-10193,2026-02-01,Vue Cinemas,Entertainment,Debit,84.23,64091.87
TXN-10194,2026-03-18,Uber,Transport,Debit,7.89,64083.98
TXN-10195,2026-03-23,NatWest Group,Salary,Credit,4327.58,68411.56
TXN-10196,2026-02-24,Pizza Express,Dining,Debit,90.12,68321.44
TXN-10197,2026-03-13,Steam,Entertainment,Debit,6.91,68314.53
TXN-10198,2026-01-23,NHS,Salary,Credit,2751.73,71066.26
TXN-10199,2026-03-05,BP Shell,Transport,Debit,10.5,71055.76
TXN-10200,2026-01-15,Tech Corp Ltd,Salary,Credit,3041.83,74097.59
TXN-10201,2026-01-19,Spotify,Entertainment,Debit,30.9,74066.69
TXN-10202,2026-02-01,Thames Water,Utilities,Debit,10.62,74056.07
TXN-10203,2026-03-28,Vue Cinemas,Entertainment,Debit,46.34,74009.73
TXN-10204,2026-01-25,Trainline,Transport,Debit,130.75,73878.98
TXN-10205,2026-03-11,British Gas,Utilities,Debit,85.09,73793.89
TXN-10206,2026-02-08,Estate Agents,Rent,Debit,860.33,72933.56
TXN-10207,2026-04-03,Netflix,Entertainment,Debit,75.07,72858.49
TXN-10208,2026-03-29,Uber,Transport,Debit,11.2,72847.29
TXN-10209,2026-01-25,Trainline,Transport,Debit,27.3,72819.99
TXN-10210,2026-01-26,O2,Utilities,Debit,130.19,72689.8
TXN-10211,2026-03-21,Private Landlord,Rent,Debit,1006.15,71683.65
TXN-10212,2026-02-10,Pizza Express,Dining,Debit,130.05,71553.6
TXN-10213,2026-03-12,Tech Corp Ltd,Salary,Credit,3764.69,75318.29
TXN-10214,2026-04-03,Private Landlord,Rent,Debit,856.97,74461.32
TXN-10215,2026-03-23,Thames Water,Utilities,Debit,25.74,74435.58
TXN-10216,2026-04-04,Sainsburys,Groceries,Debit,105.29,74330.29
TXN-10217,2026-04-04,NatWest Group,Salary,Credit,3618.35,77948.64
TXN-10218,2026-02-13,BP Shell,Transport,Debit,133.86,77814.78
TXN-10219,2026-01-26,Nandos,Dining,Debit,128.5,77686.28
TXN-10220,2026-04-10,Pizza Express,Dining,Debit,30.91,77655.37
TXN-10221,2026-03-26,Spotify,Entertainment,Debit,143.48,77511.89
TXN-10222,2026-04-05,Vue Cinemas,Entertainment,Debit,143.2,77368.69
TXN-10223,2026-02-02,Estate Agents,Rent,Debit,875.08,76493.61
TXN-10224,2026-01-18,Waitrose,Groceries,Debit,50.28,76443.33
TXN-10225,2026-03-25,O2,Utilities,Debit,86.61,76356.72
TXN-10226,2026-03-22,Sainsburys,Groceries,Debit,148.17,76208.55
TXN-10227,2026-03-15,TfL,Transport,Debit,86.54,76122.01
TXN-10228,2026-03-24,Pizza Express,Dining,Debit,34.64,76087.37
TXN-10229,2026-03-10,Tech Corp Ltd,Salary,Credit,2179.04,78266.41
TXN-10230,2026-01-31,Estate Agents,Rent,Debit,1292.5,76973.91
TXN-10231,2026-03-03,Tech Corp Ltd,Salary,Credit,3076.96,80050.87
TXN-10232,2026-03-31,Nandos,Dining,Debit,129.38,79921.49
TXN-10233,2026-02-08,EE,Utilities,Debit,145.18,79776.31
TXN-10234,2026-04-01,Uber,Transport,Debit,91.54,79684.77
TXN-10235,2026-02-25,Private Landlord,Rent,Debit,1123.77,78561.0
TXN-10236,2026-02-02,NatWest Group,Salary,Credit,4103.61,82664.61
TXN-10237,2026-02-04,Thames Water,Utilities,Debit,99.88,82564.73
TXN-10238,2026-03-11,Wagamama,Dining,Debit,50.6,82514.13
TXN-10239,2026-02-14,O2,Utilities,Debit,74.09,82440.04
TXN-10240,2026-03-03,EE,Utilities,Debit,47.17,82392.87
TXN-10241,2026-02-15,BP Shell,Transport,Debit,146.29,82246.58
TXN-10242,2026-02-28,British Gas,Utilities,Debit,59.95,82186.63
TXN-10243,2026-04-05,Private Landlord,Rent,Debit,1206.59,80980.04
TXN-10244,2026-02-03,Netflix,Entertainment,Debit,108.08,80871.96
TXN-10245,2026-03-28,Private Landlord,Rent,Debit,1157.93,79714.03
TXN-10246,2026-01-25,Vue Cinemas,Entertainment,Debit,68.26,79645.77
TXN-10247,2026-02-10,Sainsburys,Groceries,Debit,63.25,79582.52
TXN-10248,2026-04-12,Sainsburys,Groceries,Debit,93.54,79488.98
TXN-10249,2026-02-26,Private Landlord,Rent,Debit,1052.55,78436.43
TXN-10250,2026-02-08,Netflix,Entertainment,Debit,62.58,78373.85
TXN-10251,2026-04-03,TfL,Transport,Debit,128.6,78245.25
TXN-10252,2026-02-24,NatWest Group,Salary,Credit,3610.9,81856.15
TXN-10253,2026-02-09,Nandos,Dining,Debit,113.6,81742.55
TXN-10254,2026-01-18,Tesco,Groceries,Debit,36.4,81706.15
TXN-10255,2026-01-27,Spotify,Entertainment,Debit,39.4,81666.75
TXN-10256,2026-03-19,O2,Utilities,Debit,87.72,81579.03
TXN-10257,2026-04-12,O2,Utilities,Debit,143.67,81435.36
TXN-10258,2026-04-08,Vue Cinemas,Entertainment,Debit,42.91,81392.45
TXN-10259,2026-02-10,Private Landlord,Rent,Debit,816.56,80575.89
TXN-10260,2026-04-03,British Gas,Utilities,Debit,118.46,80457.43
TXN-10261,2026-03-25,Wagamama,Dining,Debit,51.76,80405.67
TXN-10262,2026-03-20,Vue Cinemas,Entertainment,Debit,134.95,80270.72
TXN-10263,2026-01-14,NHS,Salary,Credit,2062.35,82333.07
TXN-10264,2026-04-09,Estate Agents,Rent,Debit,1046.12,81286.95
TXN-10265,2026-02-22,Costa Coffee,Dining,Debit,73.28,81213.67
TXN-10266,2026-04-06,Steam,Entertainment,Debit,100.94,81112.73
TXN-10267,2026-02-16,Netflix,Entertainment,Debit,113.23,80999.5
TXN-10268,2026-02-25,Private Landlord,Rent,Debit,1150.74,79848.76
TXN-10269,2026-02-11,British Gas,Utilities,Debit,49.26,79799.5
TXN-10270,2026-03-25,Uber,Transport,Debit,77.72,79721.78
TXN-10271,2026-02-17,Sainsburys,Groceries,Debit,119.42,79602.36
TXN-10272,2026-02-10,Estate Agents,Rent,Debit,1238.71,78363.65
TXN-10273,2026-03-15,O2,Utilities,Debit,123.6,78240.05
TXN-10274,2026-03-15,Waitrose,Groceries,Debit,123.84,78116.21
TXN-10275,2026-03-11,O2,Utilities,Debit,30.09,78086.12
TXN-10276,2026-03-10,Private Landlord,Rent,Debit,1476.17,76609.95
TXN-10277,2026-02-13,NatWest Group,Salary,Credit,4242.64,80852.59
TXN-10278,2026-04-06,NHS,Salary,Credit,2594.71,83447.3
TXN-10279,2026-03-06,Netflix,Entertainment,Debit,56.88,83390.42
TXN-10280,2026-02-22,Private Landlord,Rent,Debit,971.18,82419.24
TXN-10281,2026-03-05,Netflix,Entertainment,Debit,65.39,82353.85
TXN-10282,2026-03-02,TfL,Transport,Debit,133.35,82220.5
TXN-10283,2026-01-27,British Gas,Utilities,Debit,78.11,82142.39
TXN-10284,2026-02-22,EE,Utilities,Debit,118.62,82023.77
TXN-10285,2026-01-29,Spotify,Entertainment,Debit,148.1,81875.67
TXN-10286,2026-01-18,Tesco,Groceries,Debit,52.87,81822.8
TXN-10287,2026-01-23,Thames Water,Utilities,Debit,134.24,81688.56
TXN-10288,2026-01-16,Spotify,Entertainment,Debit,146.02,81542.54
TXN-10289,2026-01-30,Costa Coffee,Dining,Debit,62.66,81479.88
TXN-10290,2026-01-23,Waitrose,Groceries,Debit,52.71,81427.17
TXN-10291,2026-02-08,Steam,Entertainment,Debit,64.14,81363.03
TXN-10292,2026-02-13,Sainsburys,Groceries,Debit,62.17,81300.86
TXN-10293,2026-03-03,NatWest Group,Salary,Credit,4196.47,85497.33
TXN-10294,2026-03-30,Estate Agents,Rent,Debit,1153.43,84343.9
TXN-10295,2026-01-13,Thames Water,Utilities,Debit,36.99,84306.91
TXN-10296,2026-02-16,Uber,Transport,Debit,136.71,84170.2
TXN-10297,2026-01-31,Trainline,Transport,Debit,10.63,84159.57
TXN-10298,2026-02-06,Estate Agents,Rent,Debit,1262.8,82896.77
TXN-10299,2026-03-28,Private Landlord,Rent,Debit,895.39,82001.38
TXN-10300,2026-02-23,NHS,Salary,Credit,4252.75,86254.13
TXN-10301,2026-02-03,NatWest Group,Salary,Credit,3902.75,90156.88
TXN-10302,2026-03-01,Vue Cinemas,Entertainment,Debit,36.11,90120.77
TXN-10303,2026-01-13,Private Landlord,Rent,Debit,1234.36,88886.41
TXN-10304,2026-04-05,Uber,Transport,Debit,68.08,88818.33
TXN-10305,2026-01-15,O2,Utilities,Debit,45.4,88772.93
TXN-10306,2026-03-15,Tech Corp Ltd,Salary,Credit,4139.92,92912.85
TXN-10307,2026-02-13,EE,Utilities,Debit,137.47,92775.38
TXN-10308,2026-03-08,Private Landlord,Rent,Debit,1391.66,91383.72
TXN-10309,2026-01-21,Estate Agents,Rent,Debit,804.02,90579.7
TXN-10310,2026-03-31,Estate Agents,Rent,Debit,1470.72,89108.98
TXN-10311,2026-03-21,British Gas,Utilities,Debit,40.89,89068.09
TXN-10312,2026-01-28,Estate Agents,Rent,Debit,1264.31,87803.78
TXN-10313,2026-03-27,NHS,Salary,Credit,3600.74,91404.52
TXN-10314,2026-02-11,Trainline,Transport,Debit,52.82,91351.7
TXN-10315,2026-03-07,Tesco,Groceries,Debit,25.03,91326.67
TXN-10316,2026-02-24,Sainsburys,Groceries,Debit,8.24,91318.43
TXN-10317,2026-02-01,Pizza Express,Dining,Debit,57.23,91261.2
TXN-10318,2026-01-30,Uber,Transport,Debit,43.61,91217.59
TXN-10319,2026-01-16,Private Landlord,Rent,Debit,1183.86,90033.73
TXN-10320,2026-03-29,BP Shell,Transport,Debit,114.47,89919.26
TXN-10321,2026-04-06,Nandos,Dining,Debit,147.69,89771.57
TXN-10322,2026-02-22,BP Shell,Transport,Debit,57.27,89714.3
TXN-10323,2026-02-07,Private Landlord,Rent,Debit,1145.12,88569.18
TXN-10324,2026-02-04,Asda,Groceries,Debit,141.05,88428.13
TXN-10325,2026-01-22,NHS,Salary,Credit,2973.37,91401.5
TXN-10326,2026-02-13,Nandos,Dining,Debit,115.0,91286.5
TXN-10327,2026-02-10,Tech Corp Ltd,Salary,Credit,2474.33,93760.83
TXN-10328,2026-03-23,Private Landlord,Rent,Debit,1064.14,92696.69
TXN-10329,2026-02-27,Tesco,Groceries,Debit,68.97,92627.72
TXN-10330,2026-04-10,EE,Utilities,Debit,117.33,92510.39
TXN-10331,2026-04-02,Trainline,Transport,Debit,13.66,92496.73
TXN-10332,2026-02-04,Costa Coffee,Dining,Debit,111.01,92385.72
TXN-10333,2026-04-13,BP Shell,Transport,Debit,138.57,92247.15
TXN-10334,2026-03-01,Uber,Transport,Debit,46.52,92200.63
TXN-10335,2026-03-04,Wagamama,Dining,Debit,66.98,92133.65
TXN-10336,2026-02-21,Wagamama,Dining,Debit,86.19,92047.46
TXN-10337,2026-02-13,NHS,Salary,Credit,2215.62,94263.08
TXN-10338,2026-02-18,Wagamama,Dining,Debit,119.96,94143.12
TXN-10339,2026-02-21,Steam,Entertainment,Debit,5.03,94138.09
TXN-10340,2026-03-01,Trainline,Transport,Debit,33.69,94104.4
TXN-10341,2026-02-27,Estate Agents,Rent,Debit,1353.04,92751.36
TXN-10342,2026-02-03,Private Landlord,Rent,Debit,1240.41,91510.95
TXN-10343,2026-01-18,Waitrose,Groceries,Debit,132.13,91378.82
TXN-10344,2026-02-07,Trainline,Transport,Debit,147.21,91231.61
TXN-10345,2026-03-16,Estate Agents,Rent,Debit,957.55,90274.06
TXN-10346,2026-02-07,Sainsburys,Groceries,Debit,49.23,90224.83
TXN-10347,2026-02-15,Estate Agents,Rent,Debit,1489.23,88735.6
TXN-10348,2026-04-06,NHS,Salary,Credit,3670.93,92406.53
TXN-10349,2026-02-13,NatWest Group,Salary,Credit,4399.27,96805.8
TXN-10350,2026-02-17,EE,Utilities,Debit,117.7,96688.1
TXN-10351,2026-03-09,EE,Utilities,Debit,45.62,96642.48
TXN-10352,2026-02-18,Estate Agents,Rent,Debit,1421.65,95220.83
TXN-10353,2026-03-11,Tech Corp Ltd,Salary,Credit,3483.84,98704.67
TXN-10354,2026-02-25,Tesco,Groceries,Debit,101.41,98603.26
TXN-10355,2026-04-09,NatWest Group,Salary,Credit,2866.96,101470.22
TXN-10356,2026-03-01,Private Landlord,Rent,Debit,1220.28,100249.94
TXN-10357,2026-02-07,Spotify,Entertainment,Debit,121.89,100128.05
TXN-10358,2026-02-21,Costa Coffee,Dining,Debit,58.22,100069.83
TXN-10359,2026-03-15,BP Shell,Transport,Debit,56.14,100013.69
TXN-10360,2026-03-28,Wagamama,Dining,Debit,65.12,99948.57
TXN-10361,2026-03-04,Thames Water,Utilities,Debit,42.81,99905.76
TXN-10362,2026-01-19,O2,Utilities,Debit,90.59,99815.17
TXN-10363,2026-03-11,Sainsburys,Groceries,Debit,51.92,99763.25
TXN-10364,2026-01-21,Netflix,Entertainment,Debit,70.12,99693.13
TXN-10365,2026-03-12,Costa Coffee,Dining,Debit,121.88,99571.25
TXN-10366,2026-03-04,NatWest Group,Salary,Credit,3693.68,103264.93
TXN-10367,2026-03-28,Private Landlord,Rent,Debit,1295.74,101969.19
TXN-10368,2026-04-06,Uber,Transport,Debit,53.37,101915.82
TXN-10369,2026-02-12,Private Landlord,Rent,Debit,1413.9,100501.92
